amount,hour,distance_km,txns_last_24h,label
46.92680899768591,18,102.78042931271716,1,0
301.0121430917521,7,5.160244731871288,4,1
131.67456935454493,6,28.661780488398637,0,0
91.29425537759532,15,163.90871584751085,2,0
16.962487046234628,18,89.83015720228106,2,0
16.959629191460518,5,33.63821959497201,2,0
5.983876860868068,19,71.89435613117324,3,0
201.12308644799396,20,89.60126255674601,4,0
91.90821536272645,10,21.38760362472669,3,0
123.12500617045903,4,111.35204760656319,4,0
2.0799307999138623,15,31.788586372134375,0,0
350.3557475158312,6,37.51841243024279,4,1
178.6429543354675,4,406.87585940411805,3,1
23.8687625248947,10,92.6720529329017,5,0
20.067898874966335,14,22.452828404016174,2,0
20.261142283225706,2,0.519974207241725,3,0
36.27537294604771,4,49.198251393453,5,0
74.39278308608544,22,60.855169406243746,2,0
56.55370667803366,20,52.605907938941854,0,0
34.42229925539415,4,171.88635375755814,3,0
94.63708738997987,8,99.37814480925994,1,0
15.023452872733866,14,29.785752972465225,3,0
34.551551200240226,2,3.245995691452902,1,0
45.6277218220847,5,32.31878782445798,2,0
60.893468785977504,16,58.43736524445915,2,0
153.7936011030912,20,46.78767139661835,1,0
22.273586212869027,7,38.624355763825285,2,0
72.20291550331277,20,31.6326185245749,3,0
89.75047213097605,10,17.390140401450484,1,0
4.756384975640855,5,16.24128934928126,5,0
93.533302064961,7,34.6805122804811,0,0
18.696125197741644,9,8.753583825835099,1,0
6.726393087930424,23,20.82772520828399,1,0
297.3687793506931,2,19.57657723481356,3,0
337.06303424611724,22,44.231464560157434,1,1
165.23315728128767,13,3.4504811008097844,0,0
36.32878599687583,22,88.50048995168048,2,0
10.277731500250624,13,41.32003120615461,1,0
115.27507630986618,9,55.55854303891196,0,0
58.009084258539836,11,60.7169682223623,2,0
13.015223395444863,5,17.22914151622007,3,0
68.35472281341501,11,31.778979441916093,2,0
3.4993721443479084,22,156.45856165929123,2,0
240.04228873930236,13,72.77262759859853,3,0
29.94577768406861,1,174.59475488083737,1,0
108.62557985649804,8,68.57114362509839,1,0
37.354658165762366,9,9.654979971637678,5,0
73.41108959092286,16,3.3356245967459146,5,0
79.12237979817975,16,43.097400197400034,1,0
20.438859950790576,2,22.14380879968352,5,0
349.28071327362267,18,16.11077119307339,2,1
149.22453771381407,0,82.30794669169076,1,0
280.50944192915824,11,22.863711018655902,1,0
225.21519975341965,6,19.063091961415985,3,0
91.1054412383275,3,94.8518638049875,5,0
